NIM,Periode Semester,Angkatan
1207050001.0,20201,20201
1207050002.0,20201,20201
1207050003.0,20201,20201
1207050004.0,20201,20201
1207050005.0,20201,20201
1207050006.0,20201,20201
1207050007.0,20201,20201
1207050008.0,20201,20201
1207050009.0,20201,20201
1207050010.0,20201,20201
1207050011.0,20201,20201
1207050012.0,20201,20201
1207050013.0,20201,20201
1207050014.0,20201,20201
1207050015.0,20201,20201
1207050016.0,20201,20201
1207050017.0,20201,20201
1207050018.0,20201,20201
1207050019.0,20201,20201
1207050020.0,20201,20201
1207050021.0,20201,20201
1207050022.0,20201,20201
1207050023.0,20201,20201
1207050024.0,20201,20201
1207050025.0,20201,20201
1207050026.0,20201,20201
1207050027.0,20201,20201
1207050028.0,20201,20201
1207050029.0,20201,20201
1207050030.0,20201,20201
1207050031.0,20201,20201
1207050032.0,20201,20201
1207050033.0,20201,20201
1207050034.0,20201,20201
1207050035.0,20201,20201
1207050036.0,20201,20201
1207050037.0,20201,20201
1207050038.0,20201,20201
1207050039.0,20201,20201
1207050040.0,20201,20201
1207050041.0,20201,20201
1207050042.0,20201,20201
1207050043.0,20201,20201
1207050044.0,20201,20201
1207050045.0,20201,20201
1207050046.0,20201,20201
1207050047.0,20201,20201
1207050048.0,20201,20201
1207050049.0,20201,20201
1207050050.0,20201,20201
1207050051.0,20201,20201
1207050052.0,20201,20201
1207050053.0,20201,20201
1207050054.0,20201,20201
1207050055.0,20201,20201
1207050056.0,20201,20201
1207050057.0,20201,20201
1207050058.0,20201,20201
1207050059.0,20201,20201
1207050060.0,20201,20201
1207050061.0,20201,20201
1207050062.0,20201,20201
1207050063.0,20201,20201
1207050064.0,20201,20201
1207050065.0,20201,20201
1207050066.0,20201,20201
1207050067.0,20201,20201
1207050068.0,20201,20201
1207050069.0,20201,20201
1207050070.0,20201,20201
1207050071.0,20201,20201
1207050072.0,20201,20201
1207050073.0,20201,20201
1207050074.0,20201,20201
1207050075.0,20201,20201
1207050076.0,20201,20201
1207050077.0,20201,20201
1207050078.0,20201,20201
1207050079.0,20201,20201
1207050080.0,20201,20201
1207050081.0,20201,20201
1207050082.0,20201,20201
1207050083.0,20201,20201
1207050084.0,20201,20201
1207050085.0,20201,20201
1207050086.0,20201,20201
1207050087.0,20201,20201
1207050088.0,20201,20201
1207050089.0,20201,20201
1207050090.0,20201,20201
1207050091.0,20201,20201
1207050092.0,20201,20201
1207050093.0,20201,20201
1207050094.0,20201,20201
1207050095.0,20201,20201
1207050096.0,20201,20201
1207050097.0,20201,20201
1207050098.0,20201,20201
1207050099.0,20201,20201
1207050100.0,20201,20201
1207050101.0,20201,20201
1207050102.0,20201,20201
1207050103.0,20201,20201
1207050104.0,20201,20201
1207050105.0,20201,20201
1207050106.0,20201,20201
1207050107.0,20201,20201
1207050108.0,20201,20201
1207050109.0,20201,20201
1207050110.0,20201,20201
1207050111.0,20201,20201
1207050112.0,20201,20201
1207050113.0,20201,20201
1207050114.0,20201,20201
1207050115.0,20201,20201
1207050116.0,20201,20201
1207050117.0,20201,20201
1207050118.0,20201,20201
1207050119.0,20201,20201
1207050120.0,20201,20201
1207050121.0,20201,20201
1207050122.0,20201,20201
1207050123.0,20201,20201
1207050124.0,20201,20201
1207050125.0,20201,20201
1207050126.0,20201,20201
1207050127.0,20201,20201
1207050128.0,20201,20201
1207050129.0,20201,20201
1207050130.0,20201,20201
1207050131.0,20201,20201
1207050132.0,20201,20201
1207050133.0,20201,20201
1207050134.0,20201,20201
1207050135.0,20201,20201
1207050136.0,20201,20201
1207050137.0,20201,20201
1207050138.0,20201,20201
1207050139.0,20201,20201
1207050140.0,20201,20201
1207050141.0,20201,20201
1207050142.0,20201,20201
1207050143.0,20201,20201
1207050144.0,20201,20201
1207050145.0,20201,20201
1207050146.0,20201,20201
1207050147.0,20201,20201
1207050148.0,20201,20201
1207050149.0,20202,20201
