Kode MK,Nama Mata Kuliah,SKS
IF8101,Pengantar Teknologi Informasi,2.0
IF8504,Sistem Operasi,3.0
IF8402,Pemrograman Berorientasi Objek,2.0
IF8402L,Praktikum Pemrograman Berorientasi Objek,1.0
IF8301,Algoritma dan Struktur Data,2.0
IF8403,Organisasi dan  Arsitektur Komputer,3.0
IF8405,Teori Bahasa dan Otomata,3.0
IF8301L,Praktikum Algoritma dan Struktur Data,1.0
IF8503,Sistem Informasi,3.0
IF8505,Jaringan Komputer,2.0
IF8501,Sistem Basis Data,2.0
IF8404L,Praktikum Rekayasa Perangkat Lunak,1.0
IF8404,Rekayasa Perangkat Lunak,2.0
IF8605,Intelegensia Buatan,3.0
IF8606,Manajemen Proyek Perangkat Lunak,3.0
IF8706P,Sistem Informasi Enterprise,3.0
IF8506,Interaksi Manusia dan Komputer,3.0
IF8701L,Praktikum Sistem Multimedia,1.0
IF8702P,Sistem Informasi Geografis,3.0
IF8701,Sistem Multimedia,2.0
IF8507,Komunikasi Antar Personel,2.0
IF8406,Strategi Algoritma,3.0
IF8401,Basis Data,2.0
IF8401L,Praktikum Basis Data,1.0
IF8601,Jaringan Komputer Lanjut,2.0
IF8601L,Praktikum Jaringan Komputer Lanjut,1.0
IF8801,Kewirausahaan dan Etika Bisnis,2.0
IF8407,Grafika Komputer,3.0
IF8501L,Praktikum Sistem Basisdata,1.0
IF8201,Dasar Pemrograman,2.0
IF8701P,ECommerce,3.0
IF8201L,Praktikum Dasar Pemrograman,1.0
IF8703P,WirelessMobile Computing,2.0
IF8502L,Praktikum Rekayasa Perangkat Lunak Lanjut,1.0
IF8502,Rekayasa Perangkat Lunak Lanjut,2.0
IF8603,Kriptografi,2.0
IF8602,Pemrograman Internet,2.0
IF8603L,Praktikum Kriptografi,1.0
IF8602L,Praktikum Pemrograman Internet,1.0
IF8604,Sistem Terdistribusi,3.0
IF8505L,Praktikum Jaringan Komputer,1.0
IF8703,Metode Penelitian,2.0
IF8704P,Mobile Programming,2.0
IF8712P,Pengolahan Citra Digital,3.0
IF8707P,Perawatan Perangkat Lunak,3.0
IF8704PL,Praktikum Mobile Programming,1.0
IF8703PL,Praktikum WirelessMobile Computing,1.0
IF8702,Proyek Perangkat Lunak,3.0
IF8705P,Sistem Basis Data Terdistribusi,3.0
IF8709P,Information Retrieval,3.0
IF8708P,Data Mining,3.0
IF15201,Algoritma dan Pemrograman,2.0
IF15401L,Praktikum Basis Data,1.0
IF15401,Basis Data,2.0
IF15402,Rekayasa Perangkat Lunak,2.0
IF15302,Organisasi dan Arsitektur Komputer,3.0
IF15405,Strategi Algoritma,3.0
IF15406,Sistem Operasi,3.0
IF15102,Dasar Pemrograman,2.0
IF15102L,Praktikum Dasar Pemrograman,1.0
IF15404,Teori Bahasa dan Otomata,3.0
IF15506,Intelegensia Buatan,3.0
IF8711P,Parallel Computing,3.0
IF15402L,Praktikum Rekayasa Perangkat Lunak,1.0
IF15403L,Praktikum Pemrograman Berorientasi Objek,1.0
IF15501L,Praktikum Sistem Basis Data,1.0
IF8710P,Sistem Cerdas,3.0
IF15507,Manajemen Proyek Perangkat Lunak,3.0
IF15201L,Praktikum Algoritma dan Pemrograman,1.0
IF15505,Interaksi Manusia dan Komputer,3.0
IF15301L,Praktikum Struktur Data,1.0
IF15101,Pengantar Informatika,2.0
IF15403,Pemrograman Berorientasi Objek,2.0
IF15502,Jaringan Komputer,2.0
IF15602,Proyek Perangkat Lunak,3.0
IF15504L,Prak Pengembangan Aplikasi Web,1.0
IF15501,Sistem Basis Data,2.0
IF15301,Struktur Data,2.0
IF15504,Pengembangan Aplikasi Web,2.0
IF15702,Sistem Multimedia,2.0
IF15707P,Perawatan Perangkat Lunak,3.0
IF15713P,Kriptografi,2.0
IF15713PL,Praktikum Kriptografi,1.0
IF15604,Grafika Komputer dan Visualisasi,3.0
IF15503,Aplikasi Platform Khusus,2.0
IF15502L,Praktikum Jaringan Komputer,1.0
IF15503L,Prak Aplikasi Platform Khusus,1.0
IF15601,Sistem Informasi,3.0
IF15603,Sistem Terdistribusi,3.0
IF15606,Jaringan Komputer Lanjut,2.0
IF15606L,Prak Jaringan Komputer Lanjut,1.0
IF15708P,Data Mining,3.0
IF15702L,Praktikum Sistem Multimedia,1.0
IF15701P,ECommerce,3.0
IF15704P,Mobile Programming,2.0
IF15703P,WirelessMobile Computing,2.0
IF15703PL,Praktikum WirelessMobile Computing,1.0
IF15706P,Sistem Informasi Enterprise,3.0
IF15605,Komunikasi Antar Personel,2.0
IF15709P,Information Retrieval,3.0
IF15701L,Prak RPL Spesifik Domain,1.0
