Angkatan,Kode MK,Nama Mata Kuliah
20061,705105,Kalkulus I
20061,705217,Aljabar Linier
20061,705436,Metode Numerik
20061,705106,Fisika Dasar
20061,705106,Fisika Dasar
20061,705105,Kalkulus I
20061,705105,Kalkulus I
20061,705217,Aljabar Linier
20061,705218,Kalkulus II
20061,705328,Komunikasi Data
20061,705105,Kalkulus I
20061,705218,Kalkulus II
20061,705436,Metode Numerik
20061,UN8205,Hadits dan Ilmu Hadits
20061,705217,Aljabar Linier
20061,705217,Aljabar Linier
20061,705537,Pemrograman Web II
20061,705436,Metode Numerik
20061,705105,Kalkulus I
20061,705107,Pengantar Teknologi Informasi
20061,705219,Algoritma dan Pemrograman
20061,705216,English Communication Skill
20061,705326,Organisasi  Arsitektur Komputer
20061,705217,Aljabar Linier
20061,705216,English Communication Skill
20061,705326,Organisasi  Arsitektur Komputer
20061,705436,Metode Numerik
20061,705322,Sejarah Peradaban Islam
20061,705436,Metode Numerik
20061,705103,Bahasa Inggris
20061,705106,Fisika Dasar
20061,705105,Kalkulus I
20061,705218,Kalkulus II
20061,705322,Sejarah Peradaban Islam
20061,705105,Kalkulus I
20061,705219,Algoritma dan Pemrograman
20061,705327,Probabilitas dan Statistika
20061,705327,Probabilitas dan Statistika
20061,705219,Algoritma dan Pemrograman
20061,705217,Aljabar Linier
20061,705322,Sejarah Peradaban Islam
20061,705105,Kalkulus I
20061,705217,Aljabar Linier
20061,705325,Logika Informatika
20061,705217,Aljabar Linier
20061,705325,Logika Informatika
20061,705107,Pengantar Teknologi Informasi
20061,705219,Algoritma dan Pemrograman
20061,705217,Aljabar Linier
20061,705216,English Communication Skill
20061,705326,Organisasi  Arsitektur Komputer
20061,705327,Probabilitas dan Statistika
20061,705217,Aljabar Linier
20061,705105,Kalkulus I
20061,705217,Aljabar Linier
20061,705217,Aljabar Linier
20061,705211,Hadits dan Ilmu Hadits
20061,705218,Kalkulus II
20061,705217,Aljabar Linier
20061,705105,Kalkulus I
20061,705105,Kalkulus I
20061,705436,Metode Numerik
20061,705217,Aljabar Linier
20061,705322,Sejarah Peradaban Islam
20061,705107,Pengantar Teknologi Informasi
20061,705219,Algoritma dan Pemrograman
20061,705326,Organisasi  Arsitektur Komputer
20061,705107,Pengantar Teknologi Informasi
20061,705216,English Communication Skill
20061,705328,Komunikasi Data
20061,705109,Pengetahuan Lingkungan
20061,705325,Logika Informatika
20061,705434,Rekayasa Perangkat Lunak I 
20061,705109,Pengetahuan Lingkungan
20061,705213,Ilmu Budaya Dasar  Ilmu Sosial Dasar
20061,705535,Rekayasa Perangkat Lunak II
20061,705107,Pengantar Teknologi Informasi
20061,705216,English Communication Skill
20061,705106,Fisika Dasar
20061,705105,Kalkulus I
20061,705217,Aljabar Linier
20061,705325,Logika Informatika
20061,705219,Algoritma dan Pemrograman
20061,705326,Organisasi  Arsitektur Komputer
20061,705435B,Pemrograman Web I 
20061,705105,Kalkulus I
20061,705107,Pengantar Teknologi Informasi
20061,705219,Algoritma dan Pemrograman
20061,705216,English Communication Skill
20061,705328,Komunikasi Data
20061,705326,Organisasi  Arsitektur Komputer
20061,705605,Intelegensia Buatan
20061,MAT8304,Logika Informatika
20061,705605,Intelegensia Buatan
20061,705436,Metode Numerik
20061,705104,Bahasa Arab I
20061,705105,Kalkulus I
20061,705605,Intelegensia Buatan
20061,IF8101,Pengantar Teknologi Informasi
20061,705217,Aljabar Linier
20061,705105,Kalkulus I
20061,705431,Jaringan Komputer
20061,705434,Rekayasa Perangkat Lunak I 
20061,705328,Komunikasi Data
